abbreviation,subsystem,is_reversible,is_exchange,is_transport,lower_bound,upper_bound,bound_range,n_genes,n_metabolites,n_reactants,n_products,growth_wt,growth_knockout,growth_ratio,essential
HMR_3905,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,3,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_3907,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,3,5,2,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4097,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4099,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4108,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4133,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,1,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4137,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,5,7,3,4,245.49258486604325,245.49258486604325,1.0,0
HMR_4281,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,1,5,3,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4388,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,2,5,3,2,245.49258486604325,245.49258486604336,1.0000000000000004,0
HMR_4283,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_8357,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,5,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4379,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4301,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4355,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,2,3,2,1,245.49258486604325,245.49258486604325,1.0,0
HMR_4358,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,5,4,2,2,245.49258486604325,245.49258486604325,1.0,0
HMR_4362,Glycolysis / Gluconeogenesis,0,0,0,0.0,1000.0,1000.0,0,6,3,3,245.49258486604325,245.49258486604325,1.0,0
HMR_4363,Glycolysis / Gluconeogenesis,1,0,0,-1000.0,1000.0,2000.0,1,3,1,2,245.49258486604325,229.11707850301343,0.9332953116609801,1
